Game Name,Category,Steam Release date,IAP,DLC,2019 Chart,2019 category,2020 Chart,2020 category,Genres
Nier Replicant ver 1.14...,Bronze,04/23/2021,No,No,No,X,No,X,
Nioh 2,Bronze,02/05/2021,No,No,No,X,No,X,
No Man's Sky,Bronze,08/12/2016,No,No,Yes,Bronze,Yes,Bronze,
Phantasy Star Online 2: New Genesis,Bronze,08/05/2020,Yes,No,No,X,No,X,
Planet Zoo,Bronze,11/05/2019,No,Yes,Yes,Silver,Yes,Silver,
RAFT,Bronze,05/23/2018,No,No,Yes,Bronze,Yes,Silver,
Rimworld,Bronze,10/17/2018,No,Yes,Yes,Bronze,Yes,Bronze,
Satisfactory,Bronze,06/08/2020,No,No,No,X,Yes,Bronze,
Sekiro: Shadows Die Twice,Bronze,03/21/2019,No,No,Yes,Platinum,Yes,Bronze,
SMITE,Bronze,09/08/2015,Yes,Yes,Yes,Bronze,Yes,Bronze,
Star Wars: The Old Republic,Bronze,07/21/2020,Yes,No,No,X,No,X,
Stardew Valley ,Bronze,02/26/2016,No,No,Yes,Bronze,Yes,Bronze,
Tale of Immortal,Bronze,01/27/2021,No,No,No,X,No,X,
Tales of Arise,Bronze,09/10/2021,No,Yes,No,X,No,X,
Terraria,Bronze,05/16/2011,No,No,Yes,Bronze,Yes,Bronze,
The Binding of Isaac: Rebirth,Bronze,11/04/2014,No,Yes,No,X,No,X,
The Elder Scrolls V: Skyrim Special Edition,Bronze,10/28/2016,No,Yes,Yes,Bronze,Yes,Bronze,
The Forest,Bronze,04/30/2018,No,No,Yes,Bronze,Yes,Bronze,
The Hunter: Call of the Wild,Bronze,02/16/2017,No,Yes,Yes,Bronze,Yes,Bronze,
The Witcher 3,Bronze,05/18/2015,No,Yes,Yes,Gold,Yes,Silver,
Total War: Warhammer 2,Bronze,09/28/2017,No,Yes,Yes,Gold,Yes,Silver,
Wallpaper Engine,Bronze,11/01/2018,No,No,Yes,Bronze,Yes,Bronze,
World of Tanks Blitz,Bronze,11/09/2016,Yes,Yes,No,X,No,X,
World of Warships,Bronze,11/15/2017,Yes,Yes,Yes,Bronze,Yes,Bronze,
Yu-gi-oh! Duel Links ,Bronze,11/17/2017,Yes,No,Yes,Bronze,Yes,Bronze,
